track_id,name,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,is_workout,is_chill,is_party,is_focus,is_sleep,target
track_19193,Song 19193,Artist 93,0.2713690150250564,0.5973510771041531,0.2379360747681314,0.812383376819731,0.37644708428883,-2.6980779355302857,0.05051313091171927,119.78111177983142,0.37849208402827605,94,0,0,0,1,0,1
track_62871,Song 62871,Artist 71,0.3193986623947159,0.15691493211178142,0.022940002986845176,0.5496659432052076,0.2090500438119568,-14.837571665853723,0.17834443724778415,128.2107030400943,0.6780911217147263,51,0,0,0,1,0,1
track_81682,Song 81682,Artist 82,0.17088628151814633,0.2693387598472007,0.17557368239565796,0.8281407048619546,0.7320682573757357,-40.360734374190926,0.9032672295461988,156.93065756296022,0.7774590469899504,4,0,0,0,0,0,0
track_37985,Song 37985,Artist 85,0.9244722752437778,0.18620979951739192,0.4880987324187531,0.5040578513143934,0.07921531348524746,-7.300219446106013,0.37615389721098735,91.35213608179849,0.8632216773829783,55,0,0,0,0,0,0
track_22566,Song 22566,Artist 66,0.0383490509254073,0.34111483432448353,0.2423480918702986,0.050769276328365476,0.6820541125675958,-4.058194627443164,0.8133589804974776,79.86255732813197,0.48205242131839454,52,0,0,0,0,0,0
track_20694,Song 20694,Artist 94,0.6922338746454207,0.6459380633606019,0.5298792971370381,0.7683983808083816,0.8478314006929912,-34.86607223448458,0.07580850056281596,89.94803271404186,0.8991183390813813,17,0,0,0,1,0,1
track_31772,Song 31772,Artist 72,0.628249940947531,0.423535958172491,0.6299768172209647,0.6051850144151754,0.8443209344494867,-9.65551620854174,0.9826355324135205,175.89940021262953,0.6134859819378256,55,0,0,0,0,0,0
track_53573,Song 53573,Artist 73,0.09078384565173947,0.749312658781772,0.33012814481387953,0.9880169758555,0.6036315275064449,-52.83619934965063,0.05834026681279858,107.22669204802492,0.8907349298743669,99,0,0,0,1,0,1
track_55928,Song 55928,Artist 28,0.3164175187784467,0.3912520836662229,0.6523615310261225,0.10220886344652036,0.8599497596593397,-51.20332964746947,0.6245689249915565,143.48580926437108,0.6477329353960704,65,0,0,0,0,0,0
track_37449,Song 37449,Artist 49,0.07440760149019843,0.595284283454492,0.11726160067225877,0.9331907066886336,0.7673484331317937,-28.605468488555942,0.20273758237495576,97.3921406997388,0.5855385574766419,41,0,0,0,1,0,1
track_10114,Song 10114,Artist 14,0.09424306640452562,0.9921635030827617,0.12328207814338488,0.894974818071152,0.23583522625681996,-9.850409068714484,0.8796908424172565,187.52011262203246,0.5321098025430316,60,0,0,0,0,0,0
track_5570,Song 5570,Artist 70,0.9756019191566524,0.10970933060110533,0.44709305658439724,0.5688298648884631,0.35787685533280333,-35.945065038975116,0.20411632674933078,80.358999475389,0.6792783314925367,57,0,0,0,1,0,1
track_96145,Song 96145,Artist 45,0.9154384680774846,0.5627979133978944,0.43495243081754065,0.6033279848829535,0.9907377928108341,-39.565054160925584,0.25258824699582316,128.183337902365,0.640673543320945,67,0,0,0,1,0,1
track_50678,Song 50678,Artist 78,0.550397964794903,0.5282697608988401,0.6776933042365452,0.29736588187800894,0.14819164635700732,-52.01409499855397,0.15754521131083343,142.73119314595954,0.3246899216838105,37,0,0,0,0,0,0
track_71204,Song 71204,Artist 4,0.03389789285636169,0.36932818785188526,0.7395802645083612,0.015622106987881357,0.02287599894140513,-14.536487850113211,0.17520129176284427,112.27289331329098,0.04761363344820535,20,0,0,0,0,0,0
track_24235,Song 24235,Artist 35,0.9617866143085604,0.9991166805572615,0.4081375043459575,0.6558660418635286,0.1635877041059285,-28.994242101731025,0.2826422417809402,151.05880123509655,0.8127541089299385,67,0,0,0,1,0,1
track_95506,Song 95506,Artist 6,0.9554938529487085,0.23288443577140505,0.6990514250997332,0.3369895815183427,0.2613323284995335,-26.214329855943333,0.391682297549539,131.79391098920337,0.11600215113704238,56,0,0,0,0,0,0
track_9649,Song 9649,Artist 49,0.2006163711246527,0.6084392933853253,0.4915992021248029,0.5126487410616487,0.3550881137019334,-19.92203699874458,0.34877755054545867,164.32702132745692,0.525555516725122,47,0,0,0,0,0,0
track_48116,Song 48116,Artist 16,0.19440421911804961,0.24858206795176319,0.5592986783623324,0.7014294573717298,0.8968514401507601,-29.377346963436956,0.05370524952172284,101.69403912459009,0.924194558366629,98,0,0,0,1,0,1
track_41536,Song 41536,Artist 36,0.8044539233286228,0.2409725092940509,0.6151844553854012,0.6578509117897207,0.33318839309308135,-36.49975351297747,0.8506695010541434,187.42347623983892,0.16586443619600721,87,0,0,0,0,0,0
