track_id,name,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,is_workout,is_chill,is_party,is_focus,is_sleep,target
track_17335,Song 17335,Artist 35,0.9895870741406698,0.5428940206382649,0.6787282453031155,0.594281830725875,0.45916369680093394,-18.822780749668738,0.9212225289183381,123.71300818041149,0.23561851872471262,27,0,0,0,0,0,0
track_80158,Song 80158,Artist 58,0.5533389874026542,0.5678358977976722,0.07793801314530857,0.7977309339123849,0.4176197720727385,-14.848380064798178,0.44459054562267886,180.16144807825947,0.12033978973071979,82,0,1,0,0,0,0
track_84930,Song 84930,Artist 30,0.32470556248564186,0.8759946231567883,0.8932626622491275,0.9389143049495691,0.9318765067091407,-45.83760781329522,0.8601886651162498,153.3754141370319,0.3832607335939202,44,1,0,0,0,0,1
track_30540,Song 30540,Artist 40,0.9314039483761962,0.5464377904133222,0.4512170005091348,0.947525200435048,0.2323618520814541,-14.547837017335887,0.32657997276774353,192.91160185118804,0.218545048095513,93,0,1,0,0,0,0
track_82161,Song 82161,Artist 61,0.4151792933297139,0.8152016566253031,0.6974503956456732,0.46238365442921725,0.5865898472606481,-15.202280564456132,0.9880306603628677,195.01358451241026,0.890716297434807,43,0,0,1,0,0,0
track_54061,Song 54061,Artist 61,0.029786317199877677,0.495069820478257,0.337140766017603,0.7158318979957857,0.20126978623418923,-31.301479561215217,0.37319499819248236,86.02320803435227,0.5094613682058834,48,0,0,0,0,0,0
track_30059,Song 30059,Artist 59,0.8019422935894484,0.6378673458145107,0.8506365553200154,0.2898746310470126,0.567510407154703,-29.92732652513364,0.44881462042706866,163.46951734743436,0.9380737393487718,21,1,0,0,0,0,1
track_29778,Song 29778,Artist 78,0.5313576195948849,0.7475861961715606,0.8083471733386857,0.8050548259032894,0.3866141719778695,-16.015273442116005,0.5655382498052386,178.50484438953686,0.9119602302703784,48,1,0,1,0,0,1
track_27489,Song 27489,Artist 89,0.6111544902263005,0.7884312834857221,0.9068259268095579,0.1794430741631785,0.3621538185700657,-54.68856171039147,0.8798291815180355,134.00198823525471,0.5511361726104883,38,1,0,0,0,0,1
track_63319,Song 63319,Artist 19,0.04747191492326175,0.7097830304442867,0.053292097242736425,0.4941380311247987,0.12355415401878889,-4.607059390515545,0.29038031412269716,188.22246967513448,0.15951511802542595,49,0,0,0,0,0,0
track_44645,Song 44645,Artist 45,0.617599323732801,0.7397784422456934,0.7625928053460806,0.7913866742935796,0.33417656177184407,-53.79500619146664,0.8583015813852273,190.93115535806663,0.6320247944479475,6,1,0,1,0,0,1
track_27692,Song 27692,Artist 92,0.5880560673389637,0.8629523271479496,0.5827664626311911,0.794543264862921,0.9234368412400613,-54.446782623604705,0.7848444778899798,178.86889079279047,0.34441744484680514,22,0,0,0,0,0,0
